date,Net shortwave radiation flux,Net long-wave radiation flux,Downward shortwave radiation flux,Downward long-wave radiation flux,Albedo,Latent heat net flux,Sensible heat net flux,Ground heat flux,Potential evaporation rate,Evapotranspiration,Direct evaporation (bare soil),Canopy water evaporation,Transpiration (vegetation),Plant canopy surface water,Storm surface runoff,Baseflow (groundwater) runoff,Snow melt,Rain precipitation rate,Snow precipitation rate,Total precipitation rate,Snow surface temperature,Average surface skin temperature,Snow water equivalent,Snow depth,Soil moisture (0–10 cm),Soil moisture (10–40 cm),Soil moisture (40–100 cm),Soil moisture (100–200 cm),Root zone soil moisture,Soil temperature (0–10 cm),Soil temperature (10–40 cm),Soil temperature (40–100 cm),Soil temperature (100–200 cm),Wind speed,Air temperature,Specific humidity,Surface pressure,Terrestrial water storage,Ground water storage
2023-01-01,166.1374387075723,-4944.620853764142,276.89573117928717,3.8765402365100203,29.889241707528285,22.151658494342975,16.61374387075723,1.1075829247171487,55.379146235857434,1.1075829247171488e-05,3.322748774151446e-06,4.430331698868595e-06,3.322748774151446e-06,0.0011075829247171487,2.9999999999999996,1.4999999999999998,20,0.0,0.0003,0.0003,230.33227487741516,265.33227487741516,50000,132.53660664800097,39.889241707528285,119.77848341505657,229.66772512258484,449.44620853764144,339.55696683011314,258.33227487741516,257.33227487741516,256.33227487741516,255.33227487741516,4.966772512258485,260.33227487741516,5.5379146235857434e-05,100505.53791462358,,
2023-01-02,194.2465862068446,-4935.251137931052,323.744310344741,4.532420344826374,29.8705022758621,25.89954482757928,19.42465862068446,1.294977241378964,64.7488620689482,1.294977241378964e-05,3.884931724136892e-06,5.179908965515856e-06,3.884931724136892e-06,0.001294977241378964,2.9999999999999996,1.4999999999999998,20,0.0,0.0003,0.0003,230.3884931724137,265.3884931724137,50000,248.87778315009717,39.8705022758621,119.7410045517242,229.6115068275863,449.3525113793105,339.48200910344843,258.3884931724137,257.3884931724137,256.3884931724137,255.3884931724137,4.961150682758631,260.3884931724137,6.47488620689482e-05,100506.4748862069,,
2023-01-03,224.52058611369563,-4925.159804628768,374.2009768561594,5.238813675986231,29.850319609257536,29.93607814849275,22.452058611369562,1.4968039074246375,74.84019537123187,1.4968039074246376e-05,4.490411722273913e-06,5.9872156296985505e-06,4.490411722273913e-06,0.0014968039074246377,2.9999999999999996,1.4999999999999998,20,0.0,0.0003,0.0003,230.4490411722274,265.4490411722274,50000,84.57277986745152,39.85031960925754,119.70063921851508,229.5509588277726,449.25159804628765,339.40127843703016,258.4490411722274,257.4490411722274,256.4490411722274,255.4490411722274,4.955095882777261,260.4490411722274,7.484019537123188e-05,100507.48401953712,,
2023-01-04,256.9504675885875,-4914.349844137138,428.2507793143125,5.995510910400376,29.828699688274277,34.260062345145,25.69504675885875,1.7130031172572502,85.6501558628625,1.7130031172572502e-05,5.13900935177175e-06,6.852012469029002e-06,5.13900935177175e-06,0.0017130031172572502,2.9999999999999996,1.4999999999999998,20,0.0,0.0003,0.0003,230.51390093517716,265.51390093517716,50000,105.46629727977643,39.82869968827428,119.65739937654855,229.48609906482284,449.1434984413714,339.3147987530971,258.51390093517716,257.51390093517716,256.51390093517716,255.51390093517716,4.948609906482282,260.51390093517716,8.565015586286251e-05,100508.56501558628,,
2023-01-05,291.52662095774355,-4902.824459680753,485.87770159623926,6.80228782234735,29.805648919361506,38.870216127699145,29.152662095774357,1.943510806384957,97.17554031924786,1.9435108063849572e-05,5.830532419154872e-06,7.774043225539829e-06,5.830532419154872e-06,0.0019435108063849571,2.9999999999999996,1.4999999999999998,20,0.0,0.0003,0.0003,230.58305324191548,265.5830532419155,50000,77.00681617114489,39.8056489193615,119.611297838723,229.41694675808452,449.02824459680755,339.222595677446,258.5830532419155,257.5830532419155,256.5830532419155,255.58305324191548,4.941694675808451,260.5830532419155,9.717554031924786e-05,100509.71755403193,,
2023-01-06,328.2388005607062,-4890.587066479765,547.064667601177,7.6589053464164785,29.781174132959528,43.76517340809416,32.82388005607062,2.188258670404708,109.4129335202354,2.1882586704047082e-05,6.5647760112141246e-06,8.753034681618833e-06,6.5647760112141246e-06,0.002188258670404708,2.9999999999999996,1.4999999999999998,20,0.0,0.0003,0.0003,230.65647760112142,265.6564776011214,50000,26.49613300351345,39.78117413295953,119.56234826591906,229.34352239887858,448.90587066479765,339.12469653183814,258.6564776011214,257.6564776011214,256.6564776011214,255.65647760112142,4.9343522398878585,260.6564776011214,0.0001094129335202354,100510.94129335202,,
2023-01-07,367.0761277863477,-4877.641290737884,611.7935463105795,8.565109648348113,29.755282581475768,48.94348370484636,36.70761277863477,2.447174185242318,122.3587092621159,2.447174185242318e-05,7.341522555726954e-06,9.788696740969273e-06,7.341522555726954e-06,0.002447174185242318,2.9999999999999996,1.4999999999999998,20,0.0,0.0003,0.0003,230.73415225557267,265.73415225557267,50000,136.94956155303294,39.75528258147577,119.51056516295154,229.2658477444273,448.7764129073788,339.0211303259031,258.73415225557267,257.73415225557267,256.73415225557267,255.73415225557267,4.9265847744427305,260.73415225557267,0.0001223587092621159,100512.2358709262,,
2023-01-08,408.0270942964306,-4863.990968567856,680.0451571607177,9.520632200250049,29.727981937135713,54.40361257285742,40.802709429643066,2.720180628642871,136.00903143214356,2.7201806286428708e-05,8.160541885928612e-06,1.0880722514571485e-05,8.160541885928612e-06,0.0027201806286428713,2.9999999999999996,1.4999999999999998,20,0.0,0.0003,0.0003,230.8160541885929,265.8160541885929,50000,81.18329774175609,39.72798193713571,119.45596387427142,229.18394581140714,448.63990968567856,338.91192774854284,258.8160541885929,257.8160541885929,256.8160541885929,255.8160541885929,4.9183945811407135,260.8160541885929,0.00013600903143214354,100513.60090314322,,
2023-01-09,451.0795654357844,-4849.6401448547385,751.7992757263073,10.525189860168302,29.699280289709478,60.143942058104585,45.10795654357844,3.007197102905229,150.35985514526146,3.007197102905229e-05,9.021591308715686e-06,1.2028788411620917e-05,9.021591308715686e-06,0.003007197102905229,2.9999999999999996,1.4999999999999998,20,0.0,0.0003,0.0003,230.90215913087155,265.90215913087155,50000,278.86473397931155,39.69928028970948,119.39856057941896,229.09784086912845,448.4964014485474,338.7971211588379,258.90215913087155,257.90215913087155,256.90215913087155,255.90215913087155,4.909784086912843,260.90215913087155,0.00015035985514526146,100515.03598551452,,
2023-01-10,496.2207838280611,-4834.593072057312,827.0346397134351,11.578484955988092,29.669186144114626,66.1627711770748,49.62207838280611,3.3081385588537406,165.40692794268702,3.308138558853741e-05,9.924415676561223e-06,1.3232554235414964e-05,9.924415676561223e-06,0.0033081385588537406,2.9999999999999996,1.4999999999999998,20,0.0,0.0003,0.0003,230.9924415676561,265.9924415676561,50000,181.3145274603737,39.669186144114626,119.33837228822925,229.00755843234387,448.3459307205731,338.67674457645853,258.9924415676561,257.9924415676561,256.9924415676561,255.9924415676561,4.900755843234387,260.9924415676561,0.000165406927942687,100516.54069279427,,
